epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.1584,2.25057,3.23849,1.17433,0.045,0.08688,0.0453,0.02413,2.14382,2.90486,1.14149,0.0673211,0.000164216,0.000164216
2,82.3554,2.13114,2.63666,1.12127,0.13361,0.08462,0.0806,0.0425,2.09854,2.33301,1.10812,0.0341527,0.000329202,0.000329202
3,120.165,2.12635,2.40869,1.11127,0.25891,0.13048,0.09696,0.05535,1.9811,2.13789,1.1036,0.000982693,0.000492497,0.000492497
4,157.19,2.07534,2.29571,1.10278,0.26161,0.14638,0.1083,0.06069,1.93214,2.01765,1.07964,0.000492385,0.000492385,0.000492385
5,194.344,1.99711,2.21323,1.08338,0.38374,0.16822,0.13872,0.08443,1.91791,1.93341,1.10171,0.000489846,0.000489846,0.000489846
6,231.926,1.96682,2.1052,1.07465,0.42436,0.21558,0.14704,0.08843,1.87867,1.9593,1.07672,0.000487308,0.000487308,0.000487308
7,268.928,1.98352,2.08486,1.07075,0.28815,0.26435,0.17129,0.10304,1.86814,1.89648,1.0519,0.000484769,0.000484769,0.000484769
8,307.229,1.96318,2.06353,1.06915,0.43509,0.21971,0.19282,0.12161,1.86142,1.80682,1.07744,0.000482231,0.000482231,0.000482231
9,344.927,1.9194,1.95409,1.04841,0.38267,0.22299,0.21576,0.13344,1.85776,1.77739,1.05212,0.000479692,0.000479692,0.000479692
10,381.532,1.94321,1.96295,1.04853,0.29213,0.30155,0.24237,0.15528,1.81586,1.67714,1.04345,0.000477154,0.000477154,0.000477154
11,421.052,1.91688,1.88457,1.04606,0.37447,0.2908,0.25275,0.16446,1.81129,1.72108,1.04419,0.000474615,0.000474615,0.000474615
12,458.228,1.88853,1.86687,1.03778,0.38232,0.31275,0.28046,0.18221,1.78482,1.66674,1.02703,0.000472077,0.000472077,0.000472077
13,495.117,1.86021,1.8217,1.02385,0.31638,0.33808,0.28807,0.18657,1.81724,1.65919,1.04179,0.000469538,0.000469538,0.000469538
14,531.816,1.87762,1.78402,1.02481,0.39622,0.30578,0.30617,0.20416,1.75587,1.59992,1.02103,0.000467,0.000467,0.000467
15,568.644,1.86029,1.76522,1.02375,0.438,0.30927,0.31099,0.20276,1.75596,1.57861,1.01839,0.000464462,0.000464462,0.000464462
16,604.556,1.8726,1.73464,1.02866,0.34969,0.3644,0.34821,0.2368,1.74016,1.52878,1.01185,0.000461923,0.000461923,0.000461923
17,641.48,1.83167,1.68888,1.01902,0.4667,0.31691,0.34647,0.23271,1.70611,1.50987,1.00786,0.000459385,0.000459385,0.000459385
18,676.978,1.8058,1.67106,1.0186,0.37264,0.34221,0.34068,0.23079,1.7524,1.49155,1.0121,0.000456846,0.000456846,0.000456846
19,713.386,1.84389,1.64703,1.01848,0.41297,0.36486,0.36526,0.24674,1.71636,1.5029,1.01219,0.000454308,0.000454308,0.000454308
20,748.807,1.77376,1.60485,1.01117,0.4328,0.38252,0.37944,0.25873,1.69415,1.45254,1.00369,0.000451769,0.000451769,0.000451769
21,785.911,1.80123,1.62046,1.00143,0.49882,0.37326,0.38554,0.26805,1.68902,1.42159,1.00436,0.000449231,0.000449231,0.000449231
22,823.258,1.78544,1.57741,1.00379,0.43683,0.40107,0.40598,0.27658,1.69843,1.42211,0.99921,0.000446692,0.000446692,0.000446692
23,859.398,1.79823,1.57888,1.00494,0.43725,0.41425,0.40343,0.27299,1.67224,1.41815,0.99593,0.000444154,0.000444154,0.000444154
24,894.159,1.76798,1.54487,1.00796,0.60619,0.36748,0.4155,0.2815,1.68767,1.3999,0.99476,0.000441615,0.000441615,0.000441615
25,930.664,1.75338,1.52358,0.9963,0.58096,0.42881,0.42477,0.28988,1.6707,1.36323,1.00023,0.000439077,0.000439077,0.000439077
26,967.398,1.75766,1.51799,0.99939,0.43593,0.411,0.41049,0.27773,1.66963,1.38385,0.99719,0.000436538,0.000436538,0.000436538
27,1003.16,1.76076,1.50784,0.99446,0.46943,0.41417,0.42211,0.28128,1.71087,1.39773,0.99944,0.000434,0.000434,0.000434
28,1039.39,1.74827,1.51021,0.99709,0.42693,0.45135,0.42833,0.28645,1.69248,1.37333,1.00566,0.000431462,0.000431462,0.000431462
29,1074.17,1.735,1.49625,0.99423,0.48132,0.43922,0.44158,0.30307,1.66041,1.38219,0.98651,0.000428923,0.000428923,0.000428923
30,1110.84,1.73988,1.46999,0.99477,0.50354,0.44453,0.44527,0.29626,1.6448,1.34768,0.98686,0.000426385,0.000426385,0.000426385
31,1146.28,1.74178,1.44379,0.98221,0.55381,0.44178,0.46975,0.32108,1.66948,1.3141,0.99363,0.000423846,0.000423846,0.000423846
32,1184.19,1.73993,1.4214,0.98721,0.58679,0.44056,0.46719,0.31665,1.64189,1.32123,0.98586,0.000421308,0.000421308,0.000421308
33,1219.02,1.70645,1.39535,0.98286,0.55502,0.4854,0.49739,0.33608,1.64705,1.2909,0.98508,0.000418769,0.000418769,0.000418769
34,1255.93,1.72358,1.41096,0.97795,0.48138,0.47577,0.45057,0.30052,1.65755,1.37998,0.99327,0.000416231,0.000416231,0.000416231
35,1290.99,1.68271,1.38991,0.98373,0.52524,0.46925,0.47708,0.32569,1.63371,1.29227,0.98726,0.000413692,0.000413692,0.000413692
36,1326.44,1.7121,1.38874,0.9819,0.57823,0.48277,0.509,0.34311,1.66394,1.29972,0.98893,0.000411154,0.000411154,0.000411154
37,1362.94,1.72203,1.39418,0.98078,0.58919,0.49786,0.50916,0.34723,1.61926,1.27012,0.97857,0.000408615,0.000408615,0.000408615
38,1399.51,1.71423,1.3818,0.98108,0.52839,0.51243,0.50523,0.34985,1.60728,1.31403,0.98064,0.000406077,0.000406077,0.000406077
39,1434.76,1.68308,1.35228,0.97303,0.58335,0.49162,0.51945,0.36227,1.62482,1.23877,0.97777,0.000403538,0.000403538,0.000403538
40,1470.74,1.67929,1.33837,0.9709,0.56642,0.51154,0.52483,0.36174,1.60962,1.23872,0.98245,0.000401,0.000401,0.000401
41,1505.83,1.67458,1.32474,0.97037,0.59117,0.51142,0.54387,0.37139,1.6242,1.21715,0.97762,0.000398462,0.000398462,0.000398462
42,1541.52,1.67576,1.32461,0.96544,0.58205,0.54201,0.55543,0.38158,1.60739,1.21139,0.97267,0.000395923,0.000395923,0.000395923
43,1578.88,1.66852,1.31768,0.97559,0.61104,0.52091,0.54505,0.37619,1.58995,1.24456,0.97129,0.000393385,0.000393385,0.000393385
44,1614.02,1.65068,1.31347,0.96816,0.59744,0.50742,0.53325,0.36572,1.64103,1.26115,0.97945,0.000390846,0.000390846,0.000390846
45,1649.05,1.66203,1.28709,0.95969,0.61945,0.54193,0.56497,0.38272,1.59539,1.18888,0.97254,0.000388308,0.000388308,0.000388308
46,1684.79,1.67254,1.2921,0.97684,0.63034,0.54488,0.58127,0.40498,1.58329,1.1939,0.9734,0.000385769,0.000385769,0.000385769
47,1719.97,1.6769,1.30603,0.96781,0.57272,0.54374,0.56176,0.3857,1.57782,1.24854,0.97043,0.000383231,0.000383231,0.000383231
48,1755.45,1.60802,1.25956,0.9595,0.67113,0.53437,0.58736,0.40466,1.57073,1.1703,0.96874,0.000380692,0.000380692,0.000380692
49,1790.04,1.66956,1.28462,0.96691,0.63941,0.53924,0.58031,0.40107,1.56927,1.186,0.96823,0.000378154,0.000378154,0.000378154
